request_id,image,send_time,success,warm,processing_time_s,response_time_s
3005,000000348012.jpg,1776419641.5274959,True,,1.69,1.699444
3006,000000348045.jpg,1776419643.2270248,True,,2.09,2.099694
3007,000000348216.jpg,1776419645.3268073,True,,1.99,2.001387
3008,000000348243.jpg,1776419647.3282802,True,,1.69,1.696268
3009,000000348481.jpg,1776419649.024632,True,,1.8,1.803714
3010,000000348488.jpg,1776419650.8284419,True,,1.79,1.798778
3011,000000348708.jpg,1776419652.627303,True,,1.49,1.49846
3012,000000348881.jpg,1776419654.1258476,True,,1.79,1.801484
3013,000000349152.jpg,1776419655.9274132,True,,1.79,1.799801
3014,000000349184.jpg,1776419657.7273004,True,,1.79,1.798145
3015,000000349302.jpg,1776419659.525526,True,,1.79,1.798964
3016,000000349480.jpg,1776419661.3245702,True,,2.0,2.003814
3017,000000349594.jpg,1776419663.328473,True,,2.19,2.198226
3018,000000349678.jpg,1776419665.526784,True,,1.79,1.800388
3019,000000349837.jpg,1776419667.327271,True,,1.89,1.896338
3020,000000349860.jpg,1776419669.2236915,True,,1.7,1.706014
3021,000000350002.jpg,1776419670.929788,True,,1.69,1.697466
3022,000000350003.jpg,1776419672.6273375,True,,1.79,1.800624
3023,000000350019.jpg,1776419674.4280424,True,,1.89,1.896362
3024,000000350023.jpg,1776419676.324487,True,,1.9,1.903973
3025,000000350054.jpg,1776419678.2285569,True,,1.99,2.002373
3026,000000350122.jpg,1776419680.2310138,True,,1.89,1.897035
3027,000000350148.jpg,1776419682.1281455,True,,1.99,1.996275
3028,000000350388.jpg,1776419684.1245065,True,,1.8,1.803448
3029,000000350405.jpg,1776419685.9280438,True,,1.79,1.796878
3030,000000350488.jpg,1776419687.725019,True,,1.79,1.802377
3031,000000350607.jpg,1776419689.5274844,True,,1.79,1.800403
3032,000000350679.jpg,1776419691.3279908,True,,1.79,1.795819
3033,000000350833.jpg,1776419693.1238968,True,,1.69,1.701968
3034,000000351096.jpg,1776419694.8259912,True,,1.59,1.598837
3035,000000351331.jpg,1776419696.4249282,True,,1.79,1.801841
3036,000000351362.jpg,1776419698.2268622,True,,1.79,1.799537
3037,000000351530.jpg,1776419700.0264912,True,,1.59,1.601987
3038,000000351559.jpg,1776419701.6285753,True,,1.51,1.694411
3039,000000351589.jpg,1776419703.3230677,True,,1.7,1.704345
3040,000000351609.jpg,1776419705.0274978,True,,1.49,1.496431
3041,000000351810.jpg,1776419706.5240154,True,,1.89,1.90118
